town,state,name,capacity
Villanova,PA,Villanova Stadium,12000
Villanova,PA,Finneran Pavilion,6501
Waco,TX,McLane Stadium,45140
Waco,TX,Ferrell Center,10284
Waco,TX,Baylor Ballpark,5000
Waldorf,MD,Regency Furniture Stadium,4200
Walker,MI,DeltaPlex Arena,4500
Warrensburg,MO,Walton Stadium,12000
Warrensburg,MO,Multipurpose Building,6500
Washington,DC,Nationals Park,41546
Washington,DC,Audi Field,20000
Washington,DC,Capital One Arena,18506
Washington,DC,Rock Creek Park Tennis Center,7500
Washington,DC,Charles E. Smith Center,4338
Washington,DC,Entertainment & Sports Arena,4111
Waterloo,IA,Riverfront Stadium,5000
Watertown,SD,Watertown Civic Arena,4500
Weatherford,OK,Fast Lane Field,9000
Weatherford,OK,Pioneer Cellular Event Center,4000
Wenatchee,WA,Town Toyota Center,4300
West Hartford,CT,Chase Family Arena,3507
West Haven,CT,Yale Field,5000
West Lafayette,IN,Ade Stadium,57236
West Lafayette,IN,Mackey Arena,14804
West Palm Beach,FL,FITTEAM Ballpark of the Palm Beaches,6500
West Long Branch,NJ,OceanFirst Bank Center,4000
West Point,NY,Michie Stadium,38000
 West Point,NY,Christl Arena,5043
West Sacramento,CA,Raley Field,11448
West Valley City,UT,Maverik Center,10207
Wheeling,WV,Wheeling Island Stadium,12220
Wheeling,WV,WesBanco Arena,5406
Whitewater,WI,Perkins Stadium,11000
Wichita,KS,INTRUST Bank Arena,13302
Wichita,KS,Charles Koch Arena,10506
Wichita,KS,Eck Stadium,8153
Wichita Falls,TX,Memorial Stadium,14500
Wichita Falls,TX,Kay Yeager Coliseum,6400
Wichita Falls,TX,D.L. Ligon Coliseum,3640
Wilkes-Barre,PA,Mohegan Sun Arena,8050
Williamsburg,VA,Zable Stadium,12672
Williamsburg,VA,Kaplan Arena,8600
Wilmington,DE,Frawley Stadium,6404
Wilmington,OH,Fred Raizk Arena,3500
 Wilmington,NC,Trask Coliseum,5122
Windsor,ON,WFCU Centre,6450
Winnipeg,MB,IG Field,33500
Winnipeg,MB,Bell MTS Place,15294
Winnipeg,MB,Shaw Park,7481
Winona,MN,McCown Gymnasium,3500
Winston-Salem,NC,BB&T Field,31500
Winston-Salem,NC,Bowman Gray Stadium,15000
Winston-Salem,NC,Lawrence Joel Coliseum,14665
Winston-Salem,NC,BB&T Ballpark,5500
Winston-Salem,NC,David F. Couch Ballpark,3823
Winter Haven,FL,Chain of Lakes Park,7000
Woodbridge,VA,Pfitzner Stadium,6000
Worcester,MA,Fitton Field,23500
Worcester,MA,DCU Center,12135
Worcester,MA,Hart Center,3536
Yakima,WA,Yakima Valley SunDome,5549
York,PA,PeoplesBank Park,5200
Youngstown,OH,Stambaugh Stadium,20630
Youngstown,OH,Beeghly Center,6300
Youngstown,OH,Covelli Centre,5700
Ypsilanti,MI,Rynearson Stadium,30200
Ypsilanti,MI,Convocation Center,8754
Zebulon,NC,Five County Stadium,6500
